Individual,ChopstkLgth,Pinch-180-Eff,ChopstkLgth,Pinch-210-Eff,ChopstkLgth,Pinch-240-Eff,ChopstkLgth,Pinch-270-Eff,ChopstkLgth,Pinch-300-Eff,ChopstkLgth,Pinch-330-Eff
1,180,19.55,210,23.53,240,21.34,270,24.4,300,22.5,330,21.32
2,180,27.24,210,26.39,240,29.94,270,25.88,300,23.1,330,26.18
3,180,28.76,210,30.9,240,32.95,270,27.97,300,28.26,330,25.93
4,180,31.19,210,26.05,240,29.4,270,24.54,300,25.55,330,28.61
5,180,21.91,210,23.27,240,22.32,270,22.66,300,16.71,330,20.54
6,180,27.62,210,29.17,240,28.36,270,28.94,300,27.88,330,26.44
7,180,29.46,210,30.93,240,28.49,270,30.72,300,31.07,330,29.36
8,180,26.35,210,17.55,240,22.24,270,16.7,300,23.44,330,19.77
9,180,26.69,210,32.55,240,36.15,270,30.27,300,28.82,330,31.69
10,180,30.22,210,28.87,240,30.62,270,26.29,300,27.77,330,24.64
11,180,27.81,210,26.53,240,26.53,270,22.33,300,24.54,330,22.09
12,180,23.46,210,25.26,240,27.95,270,24.85,300,24.55,330,23.42
13,180,23.64,210,25.65,240,31.49,270,24.33,300,27.78,330,28.63
14,180,27.85,210,29.39,240,30.24,270,24.5,300,26.14,330,26.3
15,180,20.62,210,23.26,240,24.8,270,22.67,300,23.44,330,22.89
16,180,25.35,210,24.77,240,26.43,270,22.28,300,26.44,330,22.68
17,180,28,210,25.42,240,29.35,270,23.8,300,27.47,330,30.92
18,180,23.49,210,23.65,240,21.15,270,25.36,300,24.94,330,20.74
19,180,27.77,210,32.22,240,29.18,270,29.5,300,29.68,330,27.24
20,180,18.48,210,18.86,240,21.6,270,20.19,300,24.33,330,17.12
21,180,23.01,210,21.75,240,25.39,270,20.14,300,25.42,330,23.63
22,180,22.66,210,23.07,240,22.26,270,21.09,300,24.64,330,20.91
23,180,23.24,210,22.3,240,24.85,270,24.78,300,22.78,330,23.49
24,180,22.82,210,27.04,240,24.56,270,24.74,300,26.5,330,24.86
25,180,17.94,210,22.24,240,16.35,270,22.73,300,18.71,330,16.28
26,180,26.67,210,24.87,240,22.96,270,21.08,300,22.86,330,21.52
27,180,28.98,210,30.85,240,25.82,270,25.7,300,25.09,330,27.22
28,180,21.48,210,21.15,240,19.46,270,19.79,300,19.72,330,17.41
29,180,14.47,210,16.47,240,23.6,270,16.82,300,17.05,330,16.42
30,180,28.29,210,29.05,240,33.1,270,31.15,300,30.91,330,28.22
31,180,27.97,210,26.99,240,27.13,270,27.84,300,25.92,330,27.52
